YEAR,MO,DY,HR,T2M;
2015,1,27,16,6.7;
2015,1,27,17,6.14;
2015,1,27,18,5.53;
2015,1,27,19,5.09;
2015,1,27,20,4.83;
2015,1,27,21,4.67;
2015,1,27,22,4.53;
2015,1,27,23,4.61;
2015,1,28,0,4.65;
2015,1,28,1,4.32;
2015,1,28,2,4.07;
2015,1,28,3,3.94;
2015,1,28,4,3.8;
2015,1,28,5,3.67;
2015,1,28,6,3.55;
2015,1,28,7,3.54;
2015,1,28,8,4.4;
2015,1,28,9,5.94;
2015,1,28,10,6.9;
2015,1,28,11,7.69;
2015,1,28,12,8.01;
2015,1,28,13,8.12;
2015,1,28,14,8.01;
2015,1,28,15,7.48;
2015,1,28,16,6.01;
2015,1,28,17,5.08;
2015,1,28,18,4.75;
2015,1,28,19,4.44;
2015,1,28,20,4.1;
2015,1,28,21,3.68;
2015,1,28,22,3.46;
2015,1,28,23,3.54;
2015,1,29,0,3.45;
2015,1,29,1,3.23;
2015,1,29,2,3.08;
2015,1,29,3,3.23;
2015,1,29,4,3.26;
2015,1,29,5,3.21;
2015,1,29,6,3.16;
2015,1,29,7,3.27;
2015,1,29,8,3.37;
2015,1,29,9,3.85;
2015,1,29,10,4.9;
2015,1,29,11,5.86;
2015,1,29,12,6.37;
2015,1,29,13,6.49;
2015,1,29,14,6.38;
2015,1,29,15,5.9;
2015,1,29,16,5.12;
2015,1,29,17,4.71;
2015,1,29,18,4.6;
2015,1,29,19,4.62;
2015,1,29,20,4.74;
2015,1,29,21,4.76;
2015,1,29,22,4.65;
2015,1,29,23,4.62;
2015,1,30,0,4.71;
2015,1,30,1,4.67;
2015,1,30,2,4.68;
2015,1,30,3,4.84;
2015,1,30,4,4.78;
2015,1,30,5,4.54;
2015,1,30,6,4.36;
2015,1,30,7,4.24;
2015,1,30,8,4.37;
2015,1,30,9,4.78;
2015,1,30,10,4.84;
2015,1,30,11,4.51;
2015,1,30,12,4.64;
2015,1,30,13,5.15;
2015,1,30,14,5.15;
2015,1,30,15,4.62;
2015,1,30,16,4.2;
2015,1,30,17,4.37;
2015,1,30,18,3.91;
2015,1,30,19,3.83;
2015,1,30,20,3.3;
2015,1,30,21,3.1;
2015,1,30,22,3.12;
2015,1,30,23,3.49;
2015,1,31,0,3.69;
2015,1,31,1,3.47;
2015,1,31,2,3.19;
2015,1,31,3,2.94;
2015,1,31,4,2.66;
2015,1,31,5,2.58;
2015,1,31,6,2.53;
2015,1,31,7,2.63;
2015,1,31,8,4.12;
2015,1,31,9,5.6;
2015,1,31,10,6.52;
2015,1,31,11,7.26;
2015,1,31,12,7.76;
2015,1,31,13,8.09;
2015,1,31,14,8.15;
2015,1,31,15,7.69;
2015,1,31,16,6.19;
2015,1,31,17,5.21;
2015,1,31,18,4.89;
2015,1,31,19,4.73;
2015,1,31,20,4.59;
2015,1,31,21,4.43;
2015,1,31,22,4.37;
2015,1,31,23,4.28;
2015,2,1,0,4.19;
2015,2,1,1,4.33;
2015,2,1,2,4.24;
2015,2,1,3,4.12;
2015,2,1,4,3.94;
2015,2,1,5,3.7;
2015,2,1,6,3.53;
2015,2,1,7,3.46;
2015,2,1,8,3.97;
2015,2,1,9,5.05;
2015,2,1,10,5.52;
2015,2,1,11,5.89;
2015,2,1,12,6.19;
2015,2,1,13,6.16;
2015,2,1,14,6.05;
2015,2,1,15,5.76;
2015,2,1,16,5.01;
2015,2,1,17,4.46;
2015,2,1,18,4.31;
2015,2,1,19,4.41;
2015,2,1,20,4.39;
2015,2,1,21,4.12;
2015,2,1,22,4.26;
2015,2,1,23,4.48;
2015,2,2,0,4.59;
2015,2,2,1,4.54;
2015,2,2,2,4.43;
2015,2,2,3,4.44;
2015,2,2,4,4.37;
2015,2,2,5,4.16;
2015,2,2,6,3.96;
2015,2,2,7,3.79;
2015,2,2,8,4.48;
2015,2,2,9,5.69;
2015,2,2,10,6.12;
2015,2,2,11,6.23;
2015,2,2,12,6.35;
2015,2,2,13,6.51;
